story_tokenized,tensor,story_id,story,token_id,story_cond,hedges
a,1037,0,'professor_noev',0,'professor_noev',T
professor,2934,0,'professor_noev',1,'professor_noev',T
in,1999,0,'professor_noev',2,'professor_noev',T
the,1996,0,'professor_noev',3,'professor_noev',T
neuroscience,23700,0,'professor_noev',4,'professor_noev',T
department,2533,0,'professor_noev',5,'professor_noev',T
at,2012,0,'professor_noev',6,'professor_noev',T
co,2522,0,'professor_noev',7,'professor_noev',T
##rse,22573,0,'professor_noev',8,'professor_noev',T
##n,2078,0,'professor_noev',9,'professor_noev',T
university,2118,0,'professor_noev',10,'professor_noev',T
has,2038,0,'professor_noev',11,'professor_noev',T
been,2042,0,'professor_noev',12,'professor_noev',T
accused,5496,0,'professor_noev',13,'professor_noev',T
of,1997,0,'professor_noev',14,'professor_noev',T
sexual,4424,0,'professor_noev',15,'professor_noev',T
harassment,16011,0,'professor_noev',16,'professor_noev',T
.,1012,0,'professor_noev',17,'professor_noev',T
11,2340,0,'professor_noev',18,'professor_noev',T
women,2308,0,'professor_noev',19,'professor_noev',T
",",1010,0,'professor_noev',20,'professor_noev',T
all,2035,0,'professor_noev',21,'professor_noev',T
of,1997,0,'professor_noev',22,'professor_noev',T
them,2068,0,'professor_noev',23,'professor_noev',T
former,2280,0,'professor_noev',24,'professor_noev',T
graduate,4619,0,'professor_noev',25,'professor_noev',T
students,2493,0,'professor_noev',26,'professor_noev',T
in,1999,0,'professor_noev',27,'professor_noev',T
the,1996,0,'professor_noev',28,'professor_noev',T
department,2533,0,'professor_noev',29,'professor_noev',T
",",1010,0,'professor_noev',30,'professor_noev',T
have,2031,0,'professor_noev',31,'professor_noev',T
come,2272,0,'professor_noev',32,'professor_noev',T
forward,2830,0,'professor_noev',33,'professor_noev',T
with,2007,0,'professor_noev',34,'professor_noev',T
stories,3441,0,'professor_noev',35,'professor_noev',T
about,2055,0,'professor_noev',36,'professor_noev',T
prof,11268,0,'professor_noev',37,'professor_noev',T
.,1012,0,'professor_noev',38,'professor_noev',T
jim,3958,0,'professor_noev',39,'professor_noev',T
smith,3044,0,'professor_noev',40,'professor_noev',T
.,1012,0,'professor_noev',41,'professor_noev',T
the,1996,0,'professor_noev',42,'professor_noev',T
list,2862,0,'professor_noev',43,'professor_noev',T
of,1997,0,'professor_noev',44,'professor_noev',T
allegations,9989,0,'professor_noev',45,'professor_noev',T
against,2114,0,'professor_noev',46,'professor_noev',T
smith,3044,0,'professor_noev',47,'professor_noev',T
includes,2950,0,'professor_noev',48,'professor_noev',T
frequently,4703,0,'professor_noev',49,'professor_noev',T
commenting,15591,0,'professor_noev',50,'professor_noev',T
on,2006,0,'professor_noev',51,'professor_noev',T
women,2308,0,'professor_noev',52,'professor_noev',T
',1005,0,'professor_noev',53,'professor_noev',T
s,1055,0,'professor_noev',54,'professor_noev',T
appearance,3311,0,'professor_noev',55,'professor_noev',T
",",1010,0,'professor_noev',56,'professor_noev',T
forcing,6932,0,'professor_noev',57,'professor_noev',T
students,2493,0,'professor_noev',58,'professor_noev',T
to,2000,0,'professor_noev',59,'professor_noev',T
have,2031,0,'professor_noev',60,'professor_noev',T
meetings,6295,0,'professor_noev',61,'professor_noev',T
with,2007,0,'professor_noev',62,'professor_noev',T
him,2032,0,'professor_noev',63,'professor_noev',T
in,1999,0,'professor_noev',64,'professor_noev',T
his,2010,0,'professor_noev',65,'professor_noev',T
private,2797,0,'professor_noev',66,'professor_noev',T
home,2188,0,'professor_noev',67,'professor_noev',T
",",1010,0,'professor_noev',68,'professor_noev',T
and,1998,0,'professor_noev',69,'professor_noev',T
hosting,9936,0,'professor_noev',70,'professor_noev',T
several,2195,0,'professor_noev',71,'professor_noev',T
hot,2980,0,'professor_noev',72,'professor_noev',T
-,1011,0,'professor_noev',73,'professor_noev',T
tub,14366,0,'professor_noev',74,'professor_noev',T
parties,4243,0,'professor_noev',75,'professor_noev',T
that,2008,0,'professor_noev',76,'professor_noev',T
included,2443,0,'professor_noev',77,'professor_noev',T
nu,16371,0,'professor_noev',78,'professor_noev',T
##dity,25469,0,'professor_noev',79,'professor_noev',T
",",1010,0,'professor_noev',80,'professor_noev',T
which,2029,0,'professor_noev',81,'professor_noev',T
students,2493,0,'professor_noev',82,'professor_noev',T
